PublicationID	PublicationYear
40890566	2025
40729807	2025
40903113	2025
40591478	2025
27009517	2016
41011156	2025
40259547	2025
39623556	2024
39476791	2025
40235340	2025
23001866	2012
38863086	2024
41011569	2025
39337610	2024
38234025	2024
37386816	2023
38195812	2024
38867483	2024
39770475	2024
PMC12141489	2025
PMC12146797	2025
36905223	2023
37776965	2023
39866595	2025
41166086	2025
18335973	2008
35704222	2022
41294720	2025
39508247	2025
35917389	2022
41007737	2025
40244277	2025
38240032	2024
36250426	2022
40465835	2025
35019169	2022
37182961	2023
34812903	2022
35462458	2022
34761422	2022
41217417	2025
40389804	2025
38457077	2025
40626207	2023
36769193	2023
33990994	2021
38890199	2024
37240133	2023
40076352	2025
32966669	2020
38934922	2024
32505293	2020
39931405	2025
32928430	2020
34213112	2020
33340745	2021
41436564	2025
34215036	2021
38349033	2024
33264700	2021
33253428	2021
32823373	2020
34213191	2020
39296865	2024
39146276	2024
32609507	2020
37831372	2023
32312433	2020
39339263	2024
39885972	2025
41440282	2025
39363348	2024
34736684	2022
41440252	2025
33861925	2021
34213273	2020
32617760	2020
41244382	2025
40643474	2025
39408903	2024
31987180	2020
32887111	2020
40503311	2025
35689604	2022
40214757	2025
39125116	2024
40733310	2025
36080370	2022
38320992	2024
29700847	2018
36297986	2022
34505429	2021
30685036	2019
34255029	2021
31772265	2019
30348416	2019
30082126	2018
41226132	2025
32093316	2020
29286640	2018
30661788	2019
40686959	2025
39013805	2024
32803689	2020
28780868	2017
28247914	2017
28130905	2017
40199998	2025
40028457	2025
36197413	2022
27858039	2016
27935131	2017
31763706	2020
31253267	2019
37954414	2023
34414355	2018
29877528	2018
38933991	2024
27132848	2016
26426398	2016
28501170	2017
28059439	2017
33806467	2021
33651405	2021
38534226	2024
27449705	2016
28432685	2017
36430492	2022
41154578	2025
27558099	2016
34342317	2021
33133731	2020
29744232	2018
27311371	2016
36320243	2022
32266673	2020
27578406	2016
26086209	2015
26411263	2015
37021044	2023
37810728	2023
27473493	2016
28263598	2017
27286645	2016
28112296	2017
25863018	2015
37196158	2023
34037947	2021
33283177	2020
39618966	2025
30966081	2018
26142561	2015
26105113	2015
34443812	2021
25522280	2015
26112153	2015
25363623	2015
32476063	2020
31388584	2019
25935677	2015
31720515	2019
36359874	2022
26658763	2017
33488828	2021
28052090	2017
37799303	2023
38528922	2024
25358129	2014
25440662	2014
25294295	2014
24849131	2015
30970728	2017
24947884	2014
24361715	2014
27181651	2016
23657446	2013
28858680	2018
41373830	2025
26362021	2015
36432720	2022
30791180	2019
25589253	2015
25854854	2015
