PublicationID	PublicationYear
27009517	2016
21920321	2011
23442966	2013
40890566	2025
38638949	2024
38325737	2024
40240434	2025
36308942	2022
41476526	2025
PMC10671224	2023
40278649	2025
34687708	2022
37108613	2023
38725578	2024
39412995	2024
39626123	2024
38499613	2024
41123267	2025
40650762	2025
30685622	2019
40034308	2025
2712285	1989
37847058	2023
39184319	2024
36431855	2022
33803062	2021
36499945	2022
40244277	2025
38921828	2024
34200473	2021
36615246	2022
32093316	2020
32759367	2020
34064676	2021
34360641	2021
30255321	2018
32735914	2020
39848946	2025
32266333	2020
31608468	2019
41076627	2025
39885972	2025
36094199	2022
40666039	2025
36430492	2022
39100473	2024
35128413	2022
40644622	2025
35155934	2022
29932113	2018
29728878	2018
33073080	2020
35268627	2022
28648046	2017
38955285	2024
37792512	2023
30187752	2018
29693601	2018
PPR674618	2023
36250426	2022
33806467	2021
29138643	2017
25330743	2015
39608603	2025
34034105	2021
23097126	2012
25363623	2015
37331054	2023
25462284	2015
32626857	2020
27584039	2016
22664469	2012
34242315	2021
31054177	2019
35625942	2022
40060009	2025
33297081	2021
29163366	2017
30618610	2018
22089297	2012
34809457	2021
36456886	2023
33668290	2021
22750172	2012
26748884	2016
33307041	2021
23590199	2013
38003521	2023
26378798	2015
30320522	2018
29744232	2018
35323736	2022
23568522	2013
31273753	2019
26576950	2015
31324699	2019
29467569	2018
IND44381143	2010
25969394	2015
33233356	2020
32803689	2020
20821621	2010
34452210	2021
35890285	2022
18554995	2008
22351688	2012
25315444	2014
31806705	2020
34948007	2021
18834690	2009
15240441	2004
39294149	2024
23001616	2012
25541747	2015
33670468	2021
32012739	2020
21447157	2011
35518031	2019
31776516	2019
40410143	2025
27424662	2016
26896718	2016
23794624	2013
22916218	2012
26444899	2015
19239717	2009
26484387	2015
30842823	2019
27464895	2016
30593499	2019
31043439	2019
15530034	2004
19890364	2009
17226964	2007
17922678	2008
23177563	2012
25946161	2015
25848850	2015
31192221	2019
19284573	2009
25247695	2014
34181945	2021
22750303	2012
16386701	2006
19289203	2009
19462022	2009
29068381	2017
16420470	2006
16091935	2005
30674616	2019
19520864	2009
15468330	2004
27336918	2016
20658211	2010
15767250	2005
21290534	2011
27136517	2016
22362740	2012
11101313	2000
18404761	2008
32047429	2019
23335197	2013
31879528	2019
32272790	2020
31685848	2019
34385812	2019
9337868	1997
11513420	2001
18364351	2008
21357718	2011
22337878	2012
18065174	2008
34737305	2021
24390461	2014
30103926	2018
35492093	2020
20837360	2010
23852086	2013
18043873	2008
29206185	2017
10772896	2000
10701943	1999
25448297	2015
23613584	2013
29552647	2018
10423702	1999
10803926	2000
9420166	1997
25006248	2014
29361140	2018
1737956	1992
18558138	2008
21964396	2012
2779527	1989
1610798	1992
28510102	2015
28334825	2017
1648404	1991
9736545	1998
29620050	2018
19898476	2009
27639297	2016
8887741	1996
20111693	2009
8147941	1994
8653809	1996
8024646	1994
25197549	2013
IND20580332	1995
24691448	2014
1777576	1991
2700069	1989
18048417	2008
8037675	1994
9056484	1997
