PublicationID	PublicationYear
41026809	2025
40758915	2025
39430314	2024
39424851	2024
39289322	2024
38633000	2024
38870420	2024
PPR822740	2024
38897656	2024
38856178	2024
38720179	2024
38446737	2024
37290059	2023
37838760	2023
36603846	2023
33837826	2021
36382113	2022
36542811	2023
33360998	2022
34605430	2021
41476526	2025
34882866	2022
30929235	2019
30535510	2019
40871555	2025
41303718	2025
30618244	2019
PPR1079023	2025
41188221	2025
40845501	2025
40586751	2025
41395779	2025
40519093	2025
32348722	2020
40727287	2025
41224945	2025
40649862	2025
40618546	2025
IND609013786	2025
40313517	2025
40538375	2025
40322787	2025
40747043	2025
32153730	2020
40656527	2025
41337597	2025
33654778	2019
40329900	2025
40143329	2025
39909321	2025
40253199	2025
39979266	2025
39987606	2025
40876592	2025
41096870	2025
34458786	2021
40852251	2025
40943432	2025
31729460	2019
40263754	2025
40860107	2025
41212241	2025
39922348	2025
40160710	2025
41102328	2025
40937579	2025
41370336	2025
40333858	2025
41098958	2025
40620960	2025
40196390	2025
39579657	2025
30177695	2018
30134726	2018
39665790	2024
39722389	2025
40060009	2025
39586439	2024
39532172	2024
39704002	2025
41471263	2025
40656531	2025
40184499	2025
39420206	2024
39771484	2024
38467715	2024
40713020	2025
41071960	2025
39267485	2024
40441536	2025
40812425	2025
41097364	2025
PMC12124663	2025
41154578	2025
PMC12356054	2025-08-18
41438553	2025
40533062	2025
40137877	2025
41184413	2025
36430678	2022
40649328	2025
40724364	2025
37182961	2023
39517275	2024
39025455	2024
40278290	2025
41080722	2025
38761912	2024
38987655	2024
39969852	2025
39337610	2024
39766332	2024
23889892	2013
39124899	2024
37479174	2023
40572523	2025
38675834	2024
40873399	2025
39644990	2025
PMC11201714	2024
40037903	2025
39237531	2024
39478017	2024
41280218	2025
41465301	2025
38511488	2024
38826584	2024
39665753	2024
40586575	2025
38453105	2024
22435823	2012
40352507	2025
37739293	2023
25625202	2015
39583557	2024
39285183	2024
36587921	2023
36757172	2023
39758680	2024
39529746	2024
41231215	2025
40683449	2025
40465835	2025
37795023	2023
36958685	2023
40686959	2025
38069083	2023
40626210	2023
40731377	2025
41311955	2025
23001866	2012
38675194	2024
37318226	2023
41028712	2025
40879372	2025
37562474	2023
38981945	2024
39809444	2025
40841552	2025
38060499	2023
PMC12389170	2025
39576659	2024
37676932	2023
39407565	2024
38617645	2024
39458985	2024
36903434	2023
35722728	2022
40411535	2025
37462367	2023
39801276	2025
41378104	2025
37442532	2023
36902328	2023
39684748	2024
35940812	2022
36188253	2022
40580127	2025
39790993	2025
40979170	2025
40430538	2025
34626389	2022
37356378	2023
39105871	2025
38024745	2023
37239819	2023
37199793	2023
22733601	2012
40918421	2025
38680367	2024
37105626	2023
41342550	2025
41244486	2025
38435526	2024
PMC11068882	2024
38542992	2024
38540852	2024
38073529	2023
PMC12348390	2025
20156458	2010
39015264	2024
36786363	2023
33665758	2021
39195475	2024
IND607418193	2022
40732243	2025
40310613	2025
39955018	2025
IND607826442	2022
40755065	2025
40832906	2025
37176015	2023
38126539	2024
41019121	2025
41315484	2025
36716510	2023
35690164	2022
21895219	2011
35283663	2022
39339156	2024
40678516	2025
41135675	2025
39365899	2024
34843699	2022
38609708	2024
38396772	2024
40304029	2025
39150147	2024
37175855	2023
39877981	2025
38326294	2024
36326451	2023
39721006	2025
38527460	2024
40957952	2025
39146276	2024
PMC12348627	2025
41001643	2025
40515745	2025
41305984	2026
39300082	2024
37958614	2023
36375666	2022
40583129	2025
40078068	2025
39413277	2024
40002133	2025
35960645	2022
39302877	2024
36051670	2022
38196720	2024
38649351	2024
40472147	2025
37841109	2023
19373858	2009
PPR1103870	2025
33191201	2021
35910117	2022
35561507	2022
39272600	2024
PMC12345920	2025
37507907	2023
40413581	2025
PPR933325	2024
40844461	2025
35217463	2022
35510656	2022
36818297	2023
PMC11205585	2024
35682643	2022
38675488	2024
40820967	2025
37835279	2023
34552186	2021
40123799	2025
38072045	2024
40285643	2025
17145705	2007
40732335	2025
36915826	2023
39858352	2025
38708855	2024
36845588	2023
33933970	2021
39114181	2024
38891956	2024
35380736	2022
40860686	2025
33264016	2020
37504143	2023
41030381	2025
31555842	2019
37735883	2023
35708474	2022
40245266	2025
41310159	2025
36348777	2022
41473577	2025
36364250	2022
36364220	2022
41232670	2025
35680166	2022
36035794	2022
34328515	2021
38327793	2024
32126458	2020
38177953	2023
40556779	2025
36340147	2022
37218059	2023
39466712	2024
40116085	2025
35168735	2022
37048308	2023
