PublicationID	PublicationYear
39430314	2024
40758915	2025
39424851	2024
38720179	2024
38897656	2024
38446737	2024
37290059	2023
37838760	2023
36382113	2022
34605430	2021
40313517	2025
32348722	2020
32330412	2020
41298786	2025
41192685	2026
41064641	2025
PPR1118261	2025
41352218	2026
41108118	2025
40821668	2025
40962098	2025
33654778	2019
40332355	2025
PMC12741319	2025
41406895	2025
PPR1137560	2025
40706961	2025
41294736	2025
32153730	2020
41139018	2025
41226598	2025
40661968	2025
41295471	2025
40078068	2025
41097380	2025
41462276	2025
41440497	2025
40855107	2025
40472147	2025
40523621	2025
41321995	2025
40691301	2025
41180515	2025
40873068	2025
40963726	2025
PMC12741699	2025
41504445	2026
40473215	2025
41322970	2025
40634910	2025
41231374	2025
IND609261791	2025
40907748	2025
41325864	2026
40422017	2025
40653229	2025
41294718	2025
40379791	2025
41102328	2025
41143522	2025
PPR1073798	2025
41149304	2025
40692618	2025
40944978	2025
41124179	2025
41226252	2025
IND609261928	2025
41077039	2025
41149286	2025
41257876	2025
41492449	2026
41244399	2025
40987809	2025
39823676	2025
41376268	2025
41254484	2025
41127334	2025
IND609280721	2025
40890566	2025
IND609236318	2025
IND609245351	2025
40966293	2025
40956187	2025
41295381	2025
41263994	2025
40657544	2025
40722038	2025
40889683	2025
40912308	2025
40720755	2025
40583265	2025
40142113	2025
39870691	2025
39847823	2025
41162022	2025
41250603	2025
41441461	2025
41011283	2025
41372155	2025
40277558	2025
41061448	2025
40722868	2025
40616443	2025
40976624	2025
41373463	2025
41264607	2025
41378104	2025
39833231	2025
PPR993324	2025
IND609144541	2025
40576645	2025
41026692	2025
40495114	2025
40752706	2025
41294339	2026
41116192	2025
39944624	2025
41281742	2025
40992064	2025
27009517	2016
40974124	2025
40377029	2025
41019093	2025
40620947	2025
41198968	2025
40912828	2025
41123423	2025
41454803	2026
41309787	2025
41044367	2025
40691706	2025
41441659	2025
41495258	2026
40496350	2025
40835742	2025
PPR1124496	2025
41214656	2025
40534587	2025
41359976	2025
41009417	2025
41151450	2025
40562218	2025
41233737	2025
41476540	2025
41413306	2025
41377139	2025
PPR1097280	2025
40608545	2025
41429916	2025
40623695	2025
PMC12401543	2025-09-03
40608550	2025
40614474	2025
40317435	2025
41050113	2025
41195069	2025
38570455	2024
39737570	2024
41355740	2025
40949250	2025
40369371	2025
41009793	2025
40367674	2025
40645070	2025
40515697	2025
40713872	2025
40100134	2025
39306651	2024
41339784	2025
40932873	2025
41283512	2025
39869500	2025
41471355	2025
40374766	2025
40564190	2025
39477960	2024
PPR1101938	2025
39996969	2025
40349772	2025
40339966	2025
40628825	2025
41046281	2025
40862394	2025
41427115	2025
41247045	2025
40662756	2025
41479547	2025
40172707	2025
40896114	2025
40337305	2025
40893173	2025
40000458	2025
40318755	2025
40460607	2025
40045724	2025
IND608740274	2025
41250609	2025
41126317	2025
40514068	2025
40624796	2025
40563522	2025
40189182	2025
40377959	2025
41440920	2025
40561377	2025
40497748	2025
41366810	2025
40548390	2025
41126409	2025
41226238	2025
40188961	2025
39838646	2025
40579895	2025
PPR953476	2024
40216247	2025
40777002	2025
39627219	2024
40562762	2025
40960494	2025
41017855	2025
41053123	2025
39989803	2025
40579852	2025
41296505	2025
40005250	2025
40878720	2025
38906902	2024
41377097	2025
40650129	2025
40310613	2025
41117072	2025
41071960	2025
39099605	2024
40505759	2025
25314127	2014
40503728	2025
40385210	2025
PMC11710176	2024
40746849	2025
39200051	2024
40823388	2025
40558441	2025
40076236	2025
41131188	2025
40461050	2025
40406165	2025
41291854	2025
39356180	2024
41440282	2025
PMC12389735	2025
41341583	2025
40657126	2025
40180269	2025
39806149	2025
39637484	2025
40207221	2025
40520883	2025
PMC11847361	2025
PPR1039366	2025
41298226	2025
40304517	2025
40441536	2025
PMC11203799	2024
41069059	2025
39829491	2025
40415386	2025
40012358	2025
40426995	2025
40210794	2025
40239484	2025
41187335	2025
39805732	2025
41112055	2025
41359663	2025
41272280	2025
40302034	2025
40096805	2025
41383027	2026
39302877	2024
40116085	2025
40500868	2025
41322602	2025
39074309	2024
40560919	2025
40646564	2025
38776309	2024
PPR779693	2023
40355412	2025
39589996	2024
23001866	2012
38315360	2024
41379101	2025
41199836	2025
41133680	2025
39660217	2024
40732341	2025
38761495	2024
40903212	2025
40082588	2025
40634432	2025
41293728	2025
40348191	2025
36156780	2023
41101504	2025
41426244	2025
