PublicationID	PublicationYear
41258123	2025
41276992	2025
32874513	2020
40944835	2025
33654778	2019
41021834	2025
PPR1075611	2025
40747043	2025
PMC12388103	2025
40816098	2025
40627905	2025
40656527	2025
40495580	2025
40456108	2025
40123496	2025
40572584	2025
40697456	2025
40754990	2025
40220332	2025
40286104	2025
39761350	2025
40342180	2025
40808820	2025
40092763	2025
38795585	2024
40861951	2025
40919323	2025
40750608	2025
41293560	2025
39277268	2024
39024792	2024
40572609	2025
41022849	2025
40199882	2025
40474455	2025
40605646	2025
37990582	2025
40727821	2025
41375172	2025
38761474	2024
41097052	2025
41001643	2025
39713627	2024
39683250	2024
41262754	2025
40656569	2025
39769224	2024
40430538	2025
40395794	2025
38042068	2024
40740411	2025
40620960	2025
36739665	2023
39829985	2025
38484588	2024
41311888	2026
39594016	2024
40820967	2025
41244481	2025
38189149	2024
41244427	2025
40362668	2025
39911342	2025
38105760	2024
40055448	2025
40129636	2025
40832507	2025
39683868	2024
41078722	2025
39600956	2024
41272852	2025
38707315	2024
40509273	2025
38638949	2024
40763026	2025
40649846	2025
38338399	2024
39640613	2024
37154483	2023
39635858	2024
37390719	2023
40761902	2025
41113585	2025
40599595	2025
41022746	2025
37705997	2023
38543263	2024
40365048	2025
36986735	2023
IND607150464	2022
36296510	2022
39758386	2025
40761843	2025
38828190	2024
41378117	2025
36652806	2023
39598811	2024
40713020	2025
39813251	2025
37110695	2023
38081993	2023
39931405	2025
38067419	2023
39436101	2024
36327139	2023
38694476	2024
36184736	2023
38791321	2024
38586870	2024
40747322	2025
40286040	2025
36628864	2023
38019994	2023
39337610	2024
40352557	2025
41331986	2025
41315533	2025
38148850	2023
39627324	2024
36515760	2023
41323694	2025
40979878	2025
40489122	2025
41154797	2025
38099935	2024
39113987	2024
39677835	2024
39599296	2024
38187276	2024
40416639	2025
40492447	2025
40400061	2025
35489089	2022
40326203	2025
PPR489994	2022
39371321	2024
41280381	2025
40051838	2025
35468353	2022
38034750	2023
40503311	2025
36771001	2023
39113903	2024
36816844	2023
39184462	2024
39403486	2024
35358908	2022
PMC11209914	2024
38131095	2023
39456793	2024
39301936	2024
39514700	2024
39027624	2024
36305314	2022
37110675	2023
PPR411452	2021
40979871	2025
39650841	2024
41155975	2025
38399286	2024
38911777	2024
35617167	2022
39461990	2024
40979170	2025
39588240	2024
40352716	2025
38882034	2024
37671352	2023
34276939	2021
34542936	2021
33288167	2020
35278509	2022
39200227	2024
39161455	2024
37047364	2023
38203208	2023
38345747	2024
37849701	2023
37896159	2023
37345527	2023
33970817	2022
39811293	2025
36934128	2023
40861952	2025
39406798	2024
39309270	2024
37175189	2023
37478132	2023
39511291	2024
38808245	2024
37298974	2023
36985629	2023
34072560	2021
38377169	2024
40626872	2025
40627015	2025
37298912	2023
40558467	2025
36558069	2022
40366379	2025
41118635	2025
41193501	2025
33743310	2021
38033730	2023
37014687	2023
39676998	2024
35425164	2022
39296865	2024
38764694	2024
39181020	2024
39000306	2024
41362425	2025
40375354	2025
40034308	2025
40169571	2025
41184413	2025
38389869	2024
37049814	2023
40733058	2025
PMC12127868	2025
35498077	2021
PMC12334760	2025
41123267	2025
36840012	2023
PMC10912976	2024
37867681	2023
39355225	2024
33086114	2020
39529746	2024
37687517	2023
36060988	2022
37375259	2023
39223199	2024
38312678	2024
35457032	2022
39281800	2024
37174284	2023
37529362	2023
40584647	2025
38371765	2024
35283663	2022
39309784	2024
35563138	2022
37762406	2023
39838440	2025
38528922	2024
40417289	2025
36662317	2023
PPR157417	2020
37726357	2023
41346710	2026
40303965	2025
38257385	2024
39231922	2024
36844564	2023
40787318	2025
40325346	2025
37025671	2023
35614307	2022
36140892	2022
36902328	2023
34449623	2021
34445446	2021
36139158	2022
38741961	2024
36570192	2022
37908657	2023
38196905	2024
PMC12389551	2025
37765027	2023
32348934	2020
36613320	2022
34443364	2021
37941962	2023
40243103	2025
40048643	2025
33240591	2020
32335105	2020
40551526	2025
35791857	2022
40902197	2025
38783603	2024
38179532	2024
33075117	2020
39202986	2024
40110349	2025
39620392	2025
PMC10671224	2023
40028106	2025
34632408	2021
35721392	2022
36548787	2023
38162392	2023
33488194	2020
37397215	2023
40727225	2025
38474273	2024
35968883	2022
31986436	2020
39139233	2024
36903434	2023
40224434	2025
37653446	2023
40142066	2025
39861126	2025
35480007	2021
36903592	2023
31377290	2019
39460815	2024
35516624	2020
38327780	2024
PPR508379	2022
39309098	2024
40662580	2025
37239896	2023
39384832	2024
35530396	2022
37489813	2023
37008107	2023
30099313	2019
31293690	2019
31432748	2020
38144095	2023
35456614	2022
37198413	2023
30942140	2019
37213331	2023
29448170	2018
39459210	2024
PMC12343931	2025
38871808	2024
37242587	2023
38234870	2024
39968347	2025
31284715	2019
29301411	2018
34361559	2021
31783535	2019
31284102	2019
30818152	2019
35333006	2022
33920537	2021
30661788	2019
31334043	2019
35479699	2021
37375164	2023
34411162	2021
36768885	2023
36349019	2022
39338356	2024
36913165	2023
36925472	2023
38672917	2024
36425186	2022
36128362	2022
39684748	2024
37569273	2023
40149886	2025
36500581	2022
40966520	2025
33562922	2018
39704129	2025
31178610	2019
35834514	2022
31057096	2019
36557336	2022
37049785	2023
35508533	2022
36768159	2023
37915556	2023
36952670	2023
36605643	2022
33430090	2021
33925453	2021
40644622	2025
36365579	2022
34736116	2021
39429924	2024
33924735	2021
30608086	2019
28076823	2017
37841109	2023
41426004	2025
34204692	2021
37969992	2023
PMC12339735	2025
30746110	2019
34069054	2021
39058699	2024
PMC12344145	2025
34840388	2021
40097425	2025
35520323	2020
41471263	2025
39162002	2024
37177076	2023
41012572	2025
29938030	2018
35975090	2022
35516210	2020
37162754	2023
29082851	2018
39769964	2024
40772285	2025
PMC10913039	2024
39582278	2025
29067762	2018
